Word,Sentence,Sense,Meaning Word,Definition,Part of Speech,Starting Index,Ending Index
అంటు,ఛీ ఛీ అంటు వదిలేసాను.,0,Saying,"A short, commonly known phrase that gives advice or expresses a general truth.",Noun,6,9
అంటు,వాటిని హిగ్స్‌ బాసన్లు అంటు న్నారు.,0,Saying,"A short, commonly known phrase that gives advice or expresses a general truth.",Noun,23,26
అంటు,మానవుడు సృష్టిస్తున్న కృత్రిమ మేధస్సు వల్ల మానవాళికి భవిష్యత్తులో ప్రమాదం ఉందన్న వాదనపై హాకింగ్‌ మాట్లాడుతూ ఇలా చెప్పాడు : ''రోబోట్‌ల వల్ల మానవాళికి ప్రమా దం ముంచుకొస్తోందని చాలా మంది అంటు న్నారు.,0,Saying,"A short, commonly known phrase that gives advice or expresses a general truth.",Noun,184,187
అంటు,"కాబట్టి, ఈ ధర్నాలు అంటు ప్రజలని ఇబ్బండి పెట్టకుండా, మీ చుట్టాలైన టీవీ వారిని పిలిపించుకొని వెనుకాల మీ యొక్క ప్రచార జెండాలను పెట్టుకొని కావలిసినంత గొడవ చెయ్యండి.",0,Saying,"A short, commonly known phrase that gives advice or expresses a general truth.",Noun,19,22
అంటు,"ఆ అంటు కు మూలమైన ఆంగ్ల నవలలలో మొదటి నవల 1663 నాటి, ఉత్తరప్రత్యుత్తారల రూపంలో సాగిన, ” “The lone letters between a noble man and his sister,”నవల.",0,Saying,"A short, commonly known phrase that gives advice or expresses a general truth.",Noun,2,5
అంటు,"వద్దువద్దంటున్నా వినకుండా “పిల్లను మేము చూస్తాము, నీకిష్టమైతేనే పెళ్ళి” అంటు అమ్మాయి వేటలో పడ్డారు.",0,Saying,"A short, commonly known phrase that gives advice or expresses a general truth.",Noun,72,75
అంటు,"“సారి, రండి” అంటు పిలిచాను.",0,Saying,"A short, commonly known phrase that gives advice or expresses a general truth.",Noun,13,16
అంటు,"ఒక మతమును విమర్శించడం తప్పు కాదు, హిందూ మతములోని లోపాలను ఎత్తిచూపిన ప్రతీసారీ ఇతర మతాలలో కూడా లోపాలున్నాయి అంటు ఏకరువు పెట్టాల్సిన అవసరమూ లేదు.",0,Saying,"A short, commonly known phrase that gives advice or expresses a general truth.",Noun,107,110
అంటు,"వచ్చే ఎన్నికల్లో సొంతంగా మెజార్టీ తెచ్చుకోలేమని ఇప్పటికే ఒక నిర్ణయానికి వచ్చిన చంద్రబాబు, టీడీపీ జన్మ సిద్ధాంతాలను రాజకీయ అవసరాల కోసం పబ్బం గడుపు కోవటానికి తుంగలో తొక్కేసి కాంగ్రెస్ తో అక్రమకాపురానికి సై అంటే సై అంటు న్నారు.",0,Saying,"A short, commonly known phrase that gives advice or expresses a general truth.",Noun,212,215
అంటు,ఈయనేం ప్రధాని? అంటు ప్రధాని మోదీపై ఘాటు వ్యాఖ్యలు చేశారు.,0,Saying,"A short, commonly known phrase that gives advice or expresses a general truth.",Noun,15,18
