Word,Word Transliteration,Sentence,Sense,Meaning Word,Part of Speech,Sentence Translation,Definition
అంటు,aMTu,ఆకాశాన్ని చూస్తూ ఈ విశ్వం అనంతం అనే సత్యాన్ని తలచుకుంటూ అసలు అదెలా సాధ్యం అంటు తెగ ఆశ్చర్య పడేవాడిని.,0,Saying,Noun,"Seeing the sky, They are surprised by saying that this universe is the truth of infinite","A short, commonly known phrase that gives advice or expresses a general truth."
అంటు,aMTu,"పుష్కరాల వల్ల పాప నాశనం కాదు చర్మ వ్యాధులు, అంటు రోగాలు ప్రభలుతాయి.",1,Touch/ Infectious,Noun,Skin diseases and infectious diseases are not destroyed by flowers.,The act of coming into contact with something or someone.
అడుగు,aDugu,మీ అభిప్రాయం గురించి అడుగు.,0,Ask,Verb,Ask about your opinion.,To request information or seek an answer from someone.
అడుగు,aDugu,తెలంగాణ మార్పులో ఒక అడుగు ముందే ఉంటుంది.,1,Step,Noun,Telangana change is one step in advance.,A single movement of the foot in walking or running.
అంతస్తు,aMtastu,5వ అంతస్తు నుంచి కిందకు దూకి ఆత్మహత్యాయత్నం చేశాడు.,0,Storey/ floor,Noun,He jumped from the 5th floor and attempted suicide.,A level or floor in a building.
అంతస్తు,aMtastu,రాజకీయ నాయకులంతా తమ అంతస్తు కోసం పోటీ పడతారు.,1,Status,Noun,All politicians compete for their status.,The social or professional standing of someone or something.
అసలు,asalu,మనోడు మాత్రం అసలు ఒక క్యూట్ లవ్ స్టోరీతో కామెడీగా చంపేశాడంతే.,0,Really/Actually,Adverb,"Actually, our guy killed a comedy with a cute love story.",Used to emphasize the truth or reality of a situation.
అసలు,asalu,అతను తన అసలు సొమ్మును కంపెనీలో పెట్టుబడి చేసాడు.,1,Principal Amount/Original Amount ,Noun,He invested his original money in the company.,"The original sum of money borrowed or invested, excluding interest."
ఆట,ATa,నిన్న ఆ ఆట చూడడం నాకు సంతోషం కలిగించింది.,0,Dance/show,Noun,It made me happy to watch that show yesterday.,"A performance involving movement, often to music, or any public display."
ఆట,ATa,2007 ఆగ్నేయ ఆసియా క్రీడలలో పోలో ఆట చేర్చబడింది.,1,Sport,Noun,The Polo game was included in the 2007 Southeast Asian Games.,An activity involving physical exertion and skill in which an individual or team competes against another or others.
ఆత్రుత,Atruta,విమానం ఎక్కేముందు మితిమీరిన ఆత్రుత పనికిరాదు .,0,Anxious,Adjective,Excessive anxiety is useless before boarding the plane.,"Experiencing worry, unease, or nervousness."
ఆత్రుత,Atruta,"ఈ కోవలో సస్పెన్స్, ముందేం జరుగుతుందన్న ఆత్రుత కరువై పోయాయి.",1,Eagerness,Noun,"In this category, the suspense and the eagerness of pre -happening.",Enthusiastic desire or interest.
ఆసు,Asu,ఆసు యొక్క కర్రలు బలంగా ఉండాలి.,0,Looming Eqipment,Noun,The looming equipment of sticks should be strong.,Tools or machinery used for weaving textiles.
ఆసు,Asu,ఆసు అతనికి విజయాన్ని ఇచ్చింది.,1,Ace (in cards),Noun,Ace gave him success.,"The card with a single pip, typically considered the highest or lowest in a deck."
ఉత్తరం,uttaraM,"తెరిచి చూస్తే అందులో కొన్ని ఎండు ఖర్జూరాలు, ఒక ఉత్తరం వున్నాయి.",0,Letter,Noun,Opening it has some dried kharjuras and a letter.,A character representing one or more of the sounds used in speech; also a written message.
ఉత్తరం,uttaraM,ఇది ఉత్తరం వైపు తెలంగాణా రాష్ట్రానికి చివరి జిల్లా.,1,North,Noun,This is the last district of Telangana state on the north.,"One of the four cardinal directions, opposite to south."
ఎద,èda,తన ఎద అందాలపై ఎలాంటి ఆచ్చాదన లేకుండా కేవలం చేతులని అడ్డుపెట్టుని వీడియో చేసింది.,0,Chest,Noun,The video was made to interfere with his hands without any impact on her chest beauty.,The front surface of a person’s body between the neck and the abdomen.
ఎద,èda,ఫలితంగా పవన్ కల్యాణ్ పచ్చబొట్టును తన ఎద పక్కన పూనమ్ కౌర్ పొడిపించుకుంటున్నారు.,1,Heart,Noun,"As a result, Poonam Kaur is getting Pawan Kalyan's tattoo next to her heart.",The organ in your chest that pumps blood through your veins and arteries.
కట్ట,kaTTa,"అయితే, మనుగడకోసం ఎంతో కొంత రాజీ పడే ధోరణి కాస్తా అడ్డూ అదుపూ లేకుండా పెరిగిపోయి ఇతరేతర రంగాల్లో వుండే అవలక్షణాలన్నీ కట్ట గట్టుకుని ఈ రంగంలో ప్రవేశించాయి.",0,Bundle,Noun,"However, the tendency to survive has increased in the field, which has become a bit of a compromise.",A collection of things wrapped or tied together.
కట్ట,kaTTa,"కృష్ణా నది కట్ట పైన పర్యాటకుల సంఖ్య పెరుగుతోంది, దీంతో స్థానిక వ్యాపారాలు పుంజుకున్నాయి.",1,bank/shore/dam/embankment,Noun,"The number of tourists on the Krishna River bank is increasing, leading to local businesses.",The land alongside or sloping down to a river or lake; a barrier constructed to contain the flow of water.
కమ్మ,kamma,రాష్ట్రంలో అత్యధికంగా కమ్మ వారు ఉండే విజయవాడలో కచ్చితంగా జగన్ కథ అంతే అనుకున్నారంతా.,1,Regional Community,Noun,"In Vijayawada, where there is a majority of Kamma community people in the state, Jagan's story is exactly what everyone thought.",A group of people living in the same area or having a common cultural or social connection.
కమ్మ,kamma,ఆ వంటకారుని ప్రసిద్ధి కమ్మ రుచికి సంబంధించినది.,2,Subtle Taste,Adjective,The chef is famous for his subtle/good taste.,A delicate or refined flavor.
కమ్మ ,kamma,ప్రముఖ డిజైనర్ రూపొందించిన కమ్మ లతో మోడల్స్ రాంప్ పై మెరిసిపోయారు.,0,Earring,Noun,Models dazzled on the ramp in earrings created by the famous designer.,A piece of jewelry worn on the ear.
కళ ,kaLa,కళ రంగం నేటి సమాజానికి మార్గదర్శకంగా ఉన్నది.,0,Art/Skill,Noun,The art sector is a guide to today's society.,The expression or application of human creative skill and imagination.
కళ ,kaLa,వజ్రాలు తమ కళ తో ప్రదర్శనలో మెరిసిపోయాయి.,1,Ray of light/brightness/Radiance,Noun,The diamonds shone in the show with their brightness.,A line or beam of light.
కాంతి,kAMti,65 లక్షల కాంతి సంవత్సరాల దూరంలో ఉంది.,0,Light,Noun,65 million light years away.,The natural agent that stimulates sight and makes things visible.
కాంతి,kAMti,పచ్చని చీరలో ఆమె కాంతి ఎంతో విశాలంగా ఉంది.,1,brilliancy/ lustre/ gleam,Noun,Her lustre in the green saree is very broad.,A shiny or luminous quality.
కాపు,kApu,"కాపు రిజర్వేషన్లపై ఓసారి కావాలని, ఇప్పుడు కుదరదని జగన్ మాట మారుస్తున్నారన్నారు.",1,Regional Commuity,Noun,Jagan's word is changing not to be once again on the Kapu community reservation.,A group of people connected by geography or cultural ties.
